16q22.1	16:70252294-70289508	AARS1, AARS, CMT2N, EIEE29	Alanyl-tRNA synthetase 1	601065	AARS1	16	ENSG00000090861,ENST00000261772.12	Charcot-Marie-Tooth disease, axonal, type 2N	613287	Autosomal dominant	3	Aars
16q22.1	16:70252294-70289508	AARS1, AARS, CMT2N, EIEE29	Alanyl-tRNA synthetase 1	601065	AARS1	16	ENSG00000090861,ENST00000261772.12	Epileptic encephalopathy, early infantile, 29	616339	Autosomal recessive	3	Aars
17q24.3	17:69244310-69327132	ABCA5, KIAA1888, HTC3	ATP-binding cassette, subfamily A, member 5	612503	ABCA5	23461	ENSG00000154265,ENST00000588877.5	?Hypertrichosis, congenital generalized, with gingival hyperplasia	135400	Autosomal recessive	3	Abca5
19p13.3	19:1040106-1065571	ABCA7, ABCX, AD9	ATP-binding cassette, subfamily A, member 7	605414	ABCA7	10347	ENSG00000064687,ENST00000263094.11	{Alzheimer disease 9, susceptibility to}	608907	Autosomal dominant	3	Abca7
16p13.11	16:15949615-16143061	ABCC1, MRP1, MRP, DFNA77	ATP-binding cassette, subfamily C, member 1 (multidrug resistance-associated protein 1)	158343	ABCC1	4363	ENSG00000103222,ENST00000399410.8	?Deafness, autosomal dominant 77	618915	Autosomal dominant	3	Abcc1
Xq28	X:153724850-153744754	ABCD1, ALD, AMN	ATP-binding cassette, subfamily D, member 1	300371	ABCD1	215	ENSG00000101986,ENST00000218104.6	Adrenoleukodystrophy	300100	X-linked recessive	3	Abcd1
Xq28	X:153724850-153744754	ABCD1, ALD, AMN	ATP-binding cassette, subfamily D, member 1	300371	ABCD1	215	ENSG00000101986,ENST00000218104.6	Adrenomyeloneuropathy, adult	300100	X-linked recessive	3	Abcd1
20p11.21	20:25294742-25390834	ABHD12, PHARC	Abhydrolase domain-containing protein 12, lysophospholipase	613599	ABHD12	26090	ENSG00000100997,ENST00000339157.10	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	612674	Autosomal recessive	3	Abhd12
3p21.33	3:43690869-43734370	ABHD5, CGI58, IECN2, NCIE2	Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	604780	ABHD5	51099	ENSG00000011198,ENST00000649763.1	Chanarin-Dorfman syndrome	275630	Autosomal recessive	3	Abhd5
22q13.2	22:41468755-41528978	ACO2, ICRD, OPA9	Aconitase, mitochondrial	100850	ACO2	50	ENSG00000100412,ENST00000216254.9	?Optic atrophy 9	616289	Autosomal recessive	3	Aco2
22q13.2	22:41468755-41528978	ACO2, ICRD, OPA9	Aconitase, mitochondrial	100850	ACO2	50	ENSG00000100412,ENST00000216254.9	Infantile cerebellar-retinal degeneration	614559	Autosomal recessive	3	Aco2
17q25.1	17:75941506-75979198	ACOX1, ACOX, SCOX, MITCH	Acyl-Coenzyme A oxidase 1, palmitoyl	609751	ACOX1	51	ENSG00000161533,ENST00000293217.10	Mitchell syndrome	618960		3	Acox1
17q25.1	17:75941506-75979198	ACOX1, ACOX, SCOX, MITCH	Acyl-Coenzyme A oxidase 1, palmitoyl	609751	ACOX1	51	ENSG00000161533,ENST00000293217.10	Peroxisomal acyl-CoA oxidase deficiency	264470	Autosomal recessive	3	Acox1
7p22.1	7:5527147-5530600	ACTB, BRWS1	Actin, beta	102630	ACTB	60	ENSG00000075624,ENST00000646664.1	?Dystonia, juvenile-onset	607371	Autosomal dominant	3	Actb
7p22.1	7:5527147-5530600	ACTB, BRWS1	Actin, beta	102630	ACTB	60	ENSG00000075624,ENST00000646664.1	Baraitser-Winter syndrome 1	243310	Autosomal dominant	3	Actb
17q25.3	17:81509970-81512798	ACTG1, DFNA20, DFNA26, BRWS2	Actin, gamma-1	102560	ACTG1	71	ENSG00000184009,ENST00000644774.1	Baraitser-Winter syndrome 2	614583	Autosomal dominant	3	Actg1
17q25.3	17:81509970-81512798	ACTG1, DFNA20, DFNA26, BRWS2	Actin, gamma-1	102560	ACTG1	71	ENSG00000184009,ENST00000644774.1	Deafness, autosomal dominant 20/26	604717	Autosomal dominant	3	Actg1
19q13.2	19:38647648-38731588	ACTN4, FSGS1, FSGS	Actinin, alpha-4	604638	ACTN4	81	ENSG00000130402,ENST00000252699.7	Glomerulosclerosis, focal segmental, 1	603278	Autosomal dominant	3	Actn4
2q24.1	2:157736445-157876329	ACVR1, ACVRLK2, ALK2, FOP	Activin A receptor, type I	102576	ACVR1	90	ENSG00000115170,ENST00000263640.7	Fibrodysplasia ossificans progressiva	135100	Autosomal dominant	3	Acvr1
3p21.2	3:51983534-51989196	ACY1, ACY1D	Aminoacylase-1	104620	ACY1	95	ENSG00000243989,ENST00000636358.2	Aminoacylase 1 deficiency	609924	Autosomal recessive	3	Acy1
20q13.12	20:44619518-44651757	ADA	Adenosine deaminase	608958	ADA	100	ENSG00000196839,ENST00000372874.9	Adenosine deaminase deficiency, partial	102700	Autosomal recessive; Somatic mosaicism	3	Ada
20q13.12	20:44619518-44651757	ADA	Adenosine deaminase	608958	ADA	100	ENSG00000196839,ENST00000372874.9	Severe combined immunodeficiency due to ADA deficiency	102700	Autosomal recessive; Somatic mosaicism	3	Ada
22q11.1	22:17178789-17221853	ADA2, CECR1, VAIHS, SNEDS	Adenosine deaminase 2	607575	ADA2	51816	ENSG00000093072,ENST00000399837.8	?Sneddon syndrome	182410	Autosomal recessive	3	
22q11.1	22:17178789-17221853	ADA2, CECR1, VAIHS, SNEDS	Adenosine deaminase 2	607575	ADA2	51816	ENSG00000093072,ENST00000399837.8	Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome	615688	Autosomal recessive	3	
9q34.2	9:133532163-133575518	ADAMTSL2, KIAA0605, GPHYSD1	ADAMTS-like protein 2	612277	ADAMTSL2	9719	ENSG00000197859,ENST00000354484.8	Geleophysic dysplasia 1	231050	Autosomal recessive	3	Adamtsl2
7p12.3	7:45574139-45723115	ADCY1, DFNB44	Adenylate cyclase-1, brain	103072	ADCY1	107	ENSG00000164742,ENST00000432715.5	?Deafness, autosomal recessive 44	610154	Autosomal recessive	3	Adcy1
5q14.3	5:90558795-91164436	ADGRV1, GPR98, MASS1, VLGR1, KIAA0686, FEB4, USH2C	Adhesion G protein-coupled receptor V1	602851	ADGRV1	84059	ENSG00000164199,ENST00000405460.9	?Febrile seizures, familial, 4	604352	Autosomal dominant	3	Adgrv1
5q14.3	5:90558795-91164436	ADGRV1, GPR98, MASS1, VLGR1, KIAA0686, FEB4, USH2C	Adhesion G protein-coupled receptor V1	602851	ADGRV1	84059	ENSG00000164199,ENST00000405460.9	Usher syndrome, type 2C	605472	Autosomal recessive; Digenic dominant	3	Adgrv1
10q22.2	10:74151184-74709299	ADK	Adenosine kinase	102750	ADK	132	ENSG00000156110,ENST00000372734.4	Hypermethioninemia due to adenosine kinase deficiency	614300	Autosomal recessive	3	Adk
